name;analogue;classes
Teslabim;nanoCAD BIM Электро (11135);CAD/ECAD/CAM/CAE-системы|Строительство|Моделирование технических систем и объектов|BIM
TestLink;Devprom ALM (1188)|Test IT (6125);Системы организации групповой работы|Системы управления бизнес-процессами|Программные платформы|Для организации удалённой работы|Средства управления ИТ-инфраструктурой|Отечественное ПО, бесплатное для образовательных организаций|Средства управления тестированием ПО|Моделирование технических систем и объектов
TestRail;Devprom ALM (1188)|Test IT (6125);Системы организации групповой работы|Системы управления бизнес-процессами|Программные платформы|Для организации удалённой работы|Средства управления ИТ-инфраструктурой|Отечественное ПО, бесплатное для образовательных организаций|Средства управления тестированием ПО|Моделирование технических систем и объектов
Texas Instruments TI-RTOS (SYS/BIOS);Операционная система реального времени FX-RTOS (12693);Встроенные ОС
Text Control;FastCube FMX (undefined)|FastCube .Net (undefined)|FastCube VCL (undefined)|FastReport Business Graphics .Net (undefined)|FastReport Cloud (undefined)|FastReport Corporate Server (undefined)|FastReport Desktop (undefined)|FastReport FMX (undefined)|FastReport for DBA (undefined)|FastReport Mono (undefined)|FastReport .Net (undefined)|FastReport Online Designer (undefined);Средства разработки|ПО для работы с документацией по ИБ|Бухгалтерия, финансы и отчетность|Системы управления бизнес-процессами|Системы виртуализации
Thales CipherTrust Database Protection;Гарда БД (1284);Средства защиты баз данных
Thales/Gemalto Sentinel CL;Программные ключи Guardant DL (9052);ПО для обеспечения ИБ|Средства защиты и лицензирования ПО
Thales/Gemalto Sentinel HASP;Guardant OS (12526);ПО для обеспечения ИБ|Средства защиты и лицензирования ПО
Thales/Gemalto Sentinel HL;Guardant OS (12526);ПО для обеспечения ИБ|Средства защиты и лицензирования ПО
Thales/Gemalto Sentinel LDK Envelope;Guardant Armor (3176);Средства защиты и лицензирования ПО
Thales/Gemalto Sentinel SL;Программные ключи Guardant DL (9052);ПО для обеспечения ИБ|Средства защиты и лицензирования ПО
Thales Multi-Factor Authentication (MFA);Корпоративная система управления жизненным циклом средств аутентификации JaCarta Management System (311);Системы управления средствами ИБ
Thales SAM;Корпоративная система управления жизненным циклом средств аутентификации JaCarta Management System (311);Системы управления средствами ИБ
TheBat;Универсальное коммуникационное приложение Samoware (6296);Instant Messaging|E-mail клиентское ПО
ThingWorx;AggreGate SCADA/HMI (2186)|TechnologiCS (846);АСУТП|SCADA|Отечественное ПО, бесплатное для образовательных организаций|IIoT (промышленный интернет вещей)|MES|EAM-системы (управление активами предприятия)|PLM - системы (Product Lifecycle Management)|PDM - системы (Product Data Management)
ThunderBird;Универсальное коммуникационное приложение Samoware (6296);Instant Messaging|E-mail клиентское ПО
Thycotic;sPACE - система управления привилегированным доступом (12925);Безопасный удаленный доступ|Средства управления доступом к информационным ресурсам
TIBCO BPM;RunaWFE (951);Обучающее ПО|Системы управления бизнес-процессами|Отечественное ПО, бесплатное для образовательных организаций
TIBCO EBX;1С:MDM Управление нормативно-справочной информацией (672)|Юнидата Управление Мастер Данными, Высоконагруженная Редакция (Unidata MDM HPE) (11693)|Юнидата Управление Мастер Данными, Стандартная Редакция (Unidata MDM SE) (11696);MDM-системы (Master Data Management)|Системы управления бизнес-процессами
TIBCO Spotfire;DataGrain Analyzer (undefined)|Система интеллектуального анализа данных PolyAnalyst (4414)|Триафлай (2965)|Форсайт. Аналитическая платформа (5307);Управление корпоративными данными (Data Governance)|Аналитические системы (BI)|Системы мониторинга и управления
TimeDoctor;Программный комплекс Solar addVisor (9369);ПО для HR и кадровых служб|Системы мониторинга и управления
Titus;Docs Security Suite (4427)|КИБ Серчинформ (2468);ПО для обеспечения ИБ|DLP-системы|Системы для обеспечения безопасности|Средства управления доступом к информационным ресурсам
TMS All-Access Report Builder;FastReport VCL (undefined);Средства разработки
Tofino;InfoWatch ARMA Industrial Endpoint (undefined);ПО для обеспечения ИБ|Сетевое оборудование
TofinoXE-0200T1T1;ViPNet Coordinator IG 4 (5102);Безопасный удаленный доступ|Средства криптозащиты сетей|Защищенный сетевой шлюз|ПАК криптозащиты сетей|Сетевое оборудование
Topaze;PolyGon - программный комплекс для обработки, моделирования и интерпретации данных гидродинамических исследований скважин (3233);Геофизическое моделирование и обработка исследований
TopoCAD;IndorCAD/Topo: ПОДГОТОВКА ТОПОГРАФИЧЕСКИХ ПЛАНОВ (714);Геоинформационные системы (ГИС)|Музеи|CAD/ECAD/CAM/CAE-системы|Строительство|Геодезия и картография
TopTeam Analyst;Devprom ALM (1188);Системы организации групповой работы|Системы управления бизнес-процессами|Программные платформы|Для организации удалённой работы|Средства управления ИТ-инфраструктурой|Отечественное ПО, бесплатное для образовательных организаций|Средства управления тестированием ПО|Моделирование технических систем и объектов
TPM;ViPNet SafeBoot (3442);Средства доверенной загрузки
Track and Trace;Система прослеживаемости продукции «Эттон» (12793);PLM - системы (Product Lifecycle Management)
TracTrac;Регатаскоп (11913);Геоинформационные системы (ГИС)|Системы виртуализации|Умный город|Системы облачного хранения файлов
Transnexus SBC;СПО «ПРОТЕЙ-SBC» (12507);Телекоммуникации|Сетевое оборудование
Transplace Transportation Management System;ГИС ОПТИМУМ (1800);Геоинформационные системы (ГИС)|Системы мониторинга и управления транспортом|Транспорт
TrapX DeceptionGrid;Xello Deception (6497);Средства мониторинга сетевого трафика и событий
Trax Retail Execution;ОПТИМУМ СмартЛук (6079);Распознавание образов, компьютерное зрение
Trendmicro Apex One;ViPNet EndPoint Protection (8640)|ViPNet IDS HS (3441)|ViPNet Personal Firewall 4.5 (5351);Антивирусное ПО|Средства мониторинга сетевого трафика и событий
Trend Micro Apex One;Dr.Web Desktop Security Suite (47)|Dr.Web Server Security Suite (46)|Kaspersky Endpoint Security для бизнеса – Расширенный (207);Антивирусное ПО|Системы управления средствами ИБ|Средства криптозащиты информации
Trend Micro Cloud One;Cloud Advisor (14413);ПО для обеспечения ИБ|Средства управления ИТ-инфраструктурой|Системные утилиты|Облачные программные платформы
Trend Micro DLP;Гарда Предприятие (417)|Кибер Протего (13712)|КИБ Серчинформ (2468);DLP-системы
TrendMicro Email Security;Dr.Web Mail Security Suite (43)|Kaspersky Security для почтовых серверов (203);Антивирусное ПО|Средства защиты e-mail
TrendMicro Endpoint Encryption;Корпоративная система защиты информации конфиденциальной информации с централизованным управлением Secret Disk Enterprise (513)|Система защиты информации на рабочих станциях и серверах Secret Disk (514);Средства криптозащиты информации
TrendMicro Enterprise Security for Endpoints;Dr.Web Desktop Security Suite (47)|Dr.Web Server Security Suite (46)|Kaspersky Endpoint Security для бизнеса – Расширенный (207)|NANO Антивирус Pro (3083);Антивирусное ПО|Системы управления средствами ИБ|Средства криптозащиты информации
Trend Micro Hybrid Cloud Security;Kaspersky Security для виртуальных и облачных сред (193);Антивирусное ПО
TrendMicro IMSS;Dr.Web Mail Security Suite (43)|Kaspersky Security для почтовых серверов (203);Антивирусное ПО|Средства защиты e-mail
Trend Micro Industrial Endpoint Security;Kaspersky Industrial CyberSecurity (183);Антивирусное ПО
Trend Micro Safe Lock;Kaspersky Security для банкоматов и точек мгновенной оплаты (1890)|SoftControl (8335)|ViPNet SafePoint (7057);Антивирусное ПО|Средства защиты от НСД|DLP-системы|Средства аутентификации пользователей|Средства управления доступом к информационным ресурсам
Trend Micro Smart Protection;InfoWatch ARMA Industrial Endpoint (undefined)|Kaspersky Industrial CyberSecurity (183);ПО для обеспечения ИБ|Сетевое оборудование|Антивирусное ПО
TrendMicro SWG;Solar webProxy (5984);Защищенный сетевой шлюз|Средства мониторинга сетевого трафика и событий|Средства управления доступом к информационным ресурсам
Trend Micro TippingPoint;ViPNet IDS NS (7058);ПО для обеспечения ИБ|Средства мониторинга сетевого трафика и событий
Trend Micro Worry-Free Business Security Advanced;Dr.Web Desktop Security Suite (47)|Dr.Web Server Security Suite (46);Антивирусное ПО|Системы управления средствами ИБ
Trend Micro (XG Device Control);ViPNet SafePoint (7057);DLP-системы|Средства защиты от НСД|Средства аутентификации пользователей|Средства управления доступом к информационным ресурсам
Trimble Business Cente;IndorCAD/Topo: ПОДГОТОВКА ТОПОГРАФИЧЕСКИХ ПЛАНОВ (714)|КРЕДО ГНСС (2807)|КРЕДО ДАТ (5163)|КРЕДО НИВЕЛИР (3508)|КРЕДО ОБЪЕМЫ (1725)|КРЕДО РАСЧЕТ ДЕФОРМАЦИЙ (2809)|КРЕДО ТОПОПЛАН (1718)|КРЕДО ТРАНСКОР (3509);Геоинформационные системы (ГИС)|Музеи|CAD/ECAD/CAM/CAE-системы|Строительство|Геодезия и картография
Trimble Novapoint Road (Trimble, США);IndorCAD/Road: ПРОЕКТИРОВАНИЕ АВТОМОБИЛЬНЫХ ДОРОГ (82);CAD/ECAD/CAM/CAE-системы|Строительство
Trimble RealWorx;КРЕДО 3D СКАН (2808)|Цифровая платформа ReClouds (12550);Строительство|Геодезия и картография|CAD/ECAD/CAM/CAE-системы|Геофизическое моделирование и обработка исследований|Отечественное ПО, бесплатное для образовательных организаций|Облачные программные платформы
TRIM- Quality Management System;Zyfra Industrial Automation Kit (undefined);Системы мониторинга и управления|MES
Trint Audio Transcription Software;Нестор.BRIEF. Система протоколирования совещаний (9023)|Нестор.ПРАВОСУДИЕ. Программный комплекс аудиовидеофиксации и протоколирования судебных заседаний. (1185);Органы власти|Системы аудиозаписи|Бюджетные учреждения|Лингвистическое ПО|Суд
Tripwire Enterprise;КИБ Серчинформ (2468);DLP-системы
Trustonic TEE;Доверенная среда исполнения Аврора (9943)|Средство доверенной загрузки Trusted Security Module для процессоров ARM i.MX6 (6930);Средства доверенной загрузки|BIOS|Аппаратные модули доверенной загрузки
Trustwave DbProtect;Гарда БД (1284);Средства защиты баз данных
tvOS;StingrayTV (undefined);Встроенные ОС|Телевидение, радиовещание
Ubuntu;Astra Linux Special Edition (369)|Альт Сервер (1541)|Базальт Рабочая станция (1292)|ОС "ОСнова" (5913)|ОС РОСА КОБАЛЬТ (1999)|ОС РОСА ХРОМ (1607)|РЕД ОС (3751);Операционные системы|Серверные ОС|ОС рабочих мест
UiPath Studio;Primo. RPA&Test platform (6473)|Платформа Lexema-RPA (9175);Системы управления бизнес-процессами|Средства прикладной разработки NoCode/LowCode|Системные утилиты
UKG Dimensions;N3.Кадры (3018);ПО для HR и кадровых служб
Unica - HCL Software;Altcraft Platform (8770);CRM-системы|Коммуникационное ПО|Программные платформы
Unify;Мультипротокольный коммуникационный сервер CommuniGate Pro (1189);E-mail серверы
Unify NXJ;RunaWFE (951);Обучающее ПО|Системы управления бизнес-процессами|Отечественное ПО, бесплатное для образовательных организаций
UpKeep;1С:ТОИР Управление ремонтами и обслуживанием оборудования (638);Системы управления бизнес-процессами|EAM-системы (управление активами предприятия)|Управление ТОиР
Uponor;nanoCAD BIM ВК (11133)|nanoCAD BIM Отопление (11134)|Жизнеобеспечение: ВК (3098)|Жизнеобеспечение: ОВ (3097);CAD/ECAD/CAM/CAE-системы|Строительство|Моделирование технических систем и объектов|BIM|ПО для промышленности
UserSide;Naumen Inventory (535);Средства управления ИТ-инфраструктурой
USU Software Asset Management;Naumen SAM (Software Asset Management) (undefined);ПО для функциональных сотрудников/подразделений|EAM-системы (управление активами предприятия)|Средства управления ИТ-инфраструктурой|Средства управления доступом к информационным ресурсам|Колл-центры
Vacation Tracker;Vacation Solution (15085);Системы документооборота (СЭД), ECM-системы|ПО для HR и кадровых служб|Системы управления бизнес-процессами|Для организации удалённой работы
Valentina Reports;FastReport VCL (undefined);Средства разработки
Varonis;Makves DCAP (6299)|Гарда Файлы (undefined)|КИБ Серчинформ (2468)|Спектр (7143);ПО для обеспечения ИБ|Энергетика|Средства защиты от НСД|Средства управления доступом к информационным ресурсам|Страхование|DLP-системы
VCAS Verimatrix;CAS DRECRYPT (6465)|DRM DREPLUS (6913)|IMAQrypt (10802)|IPTVPORTAL CAS (709);Телекоммуникации|Телевидение, радиовещание
Veeam® Backup & Replication™;Кибер Бэкап (4160)|Система резервного копирования RuBackup (6808);Средства резервного копирования
Vena;Knowledge Space (13092);ПО для функциональных сотрудников/подразделений|Системы управления бизнес-процессами|Системы мониторинга и управления|Средства прикладной разработки NoCode/LowCode|Базы знаний
vEPC ZXUN USPP от ZTE;Домашний регистр местоположения / регистр абонентских данных PROTEI HLR/HSS (6182);Телекоммуникации|Сетевое оборудование
Veracode Software Composition Analysis;CodeScoring (13008);ПО для обеспечения ИБ|Безопасная разработка
Veraz Networks;Программный комплекс Протей-imSwitch (3361);Телекоммуникации|Сетевое оборудование
Verbit Audio & Video Transcription;Нестор.BRIEF. Система протоколирования совещаний (9023)|Нестор.ПРАВОСУДИЕ. Программный комплекс аудиовидеофиксации и протоколирования судебных заседаний. (1185);Органы власти|Системы аудиозаписи|Бюджетные учреждения|Лингвистическое ПО|Суд
Veriato;Стахановец (3410);ПО для обеспечения ИБ|Системы мониторинга и управления
Vericut;NCManager (14408)|SprutCAM (1435)|ГеММа-3D/ Верификатор (9017)|Программный комплекс ADEM-VX версии 2020 в составе модулей: PDM, CAD, CAM, CAPP, SIM, GPP, NTR, I-RIS (Программное обеспечение ADEM-VX) (12735);Обучающее ПО|CAD/ECAD/CAM/CAE-системы|Для организации удалённой работы|Отечественное ПО, бесплатное для образовательных организаций|ПО для промышленности
Verint;AURUS-PHONEUP-REC Запись разговоров (1260)|Naumen CX (12797)|Naumen Erudite (6283)|Naumen WFM (2202)|АРГУС Workforce Management for Call Centre (8432)|Многоканальная система регистрации телефонных вызовов и речевых сообщений Незабудка II (Незабудка II) (719);Системы аудиозаписи|Коммуникационное ПО|Телефония|Лингвистическое ПО|Колл-центры|Instant Messaging|Органы власти
Verint Speech Analytics;Smart Logger II. Программный комплекс системы контроля качества работы операторов и мониторинга удовлетворенности клиентов. (2008);СУБД и средства работы с данными|Аудио, видео, обработка изображений|Банки и финансы|QMS|Лингвистическое ПО
Veritas Backup Exec;Кибер Бэкап (4160)|Система резервного копирования RuBackup (6808);Средства резервного копирования
Veritas Data Insight;Гарда Файлы (undefined)|КИБ Серчинформ (2468);DLP-системы|Средства защиты от НСД|Средства управления доступом к информационным ресурсам
Veritas eDiscovery Platform;InfoWatch Data Access Tracker (12216);DLP-системы
Veritas NetBackup;Кибер Бэкап (4160)|Система резервного копирования RuBackup (6808);Средства резервного копирования
VeSys Design;ElectriCS Pro Авиация (1542);Энергетика|CAD/ECAD/CAM/CAE-системы|Транспорт|ПО для промышленности|PDM - системы (Product Data Management)
Viaccess Orca;DREAMPlatform (9471);Телевидение, радиовещание
Viber;TrueConf Server (78)|VideoMost Server (952)|ViPNet Connect (2138)|WEBINAR (ВЕБИНАР), версия 3.0 (3316)|ВИДЕОСЕЛЕКТОР (751)|Информационно-коммуникационный сервис СТЭПЛИ (Коробочная версия) (795)|Контур.Гособлако Портал (5479)|РОСЧАТ (6176)|Система коммуникаций Express (5745);Системы видеосвязи (ВКС)|Для организации удалённой работы|Instant Messaging|Телефония|Системы организации групповой работы|Образование|Системы видеостриминга|Системы документооборота (СЭД), ECM-системы|Органы власти|ПО для HR и кадровых служб|Корпоративные порталы и средства их создания
Virtualizor;VMmanager (790);Системы управления виртуализацией
Virtuozzo;VMmanager (790);Системы управления виртуализацией
VISAGE;GeoTensor (10935);Добывающая промышленность
Visavi;Knowledge Space (13092);ПО для функциональных сотрудников/подразделений|Системы управления бизнес-процессами|Системы мониторинга и управления|Средства прикладной разработки NoCode/LowCode|Базы знаний
Viso Suite;ОПТИМУМ СмартЛук (6079);Распознавание образов, компьютерное зрение
Visual MESA Production Accounting\mPower;Массовый и энергетический баланс / Zyfra Mass & Energy Balance (10978)|Система учёта энергоресурсов I-EMS (InduSoft Energy Management System) (2306);Моделирование технических систем и объектов|Автоматизированные системы контроля и учета энергоресурсов (АСКУЭ)
Visual MESA Production Accounting (VM-PA);Массовый и энергетический баланс / Zyfra Mass & Energy Balance (10978)|Система сведения материального баланса I-DRMS (InduSoft Data Reconciliation Management System) (2069);Моделирование технических систем и объектов|AMM-системы (управление промышленным производством)
Visual MESA Supply Chain Scheduling (VM-SCS);Zyfra Reconciled Shipment Planning (undefined);Добывающая промышленность|Склады, логистика|Системы управления поставщиками (SRM), цепочками поставок (SCM)
VMWare;ECP VeiL (4608)|ECP VeiL SE (8729)|ROSA Virtualization (5091)|VeiL Broker (8728)|VMmanager (790)|Альт Сервер Виртуализации (6487)|Гиперконвергентная инфраструктура vStack (11995)|Многопользовательское расширение АСТЕР для Windows (614)|Платформа виртуализации "Горизонт-ВС" (2338)|Платформа управления и мониторинга среды виртуализации SharxBase (4445)|Программно-определяемая система хранения данных SharxStorage (12034)|Программный комплекс «Средства виртуализации «Брест» (3742)|РЕД Виртуализация (6929)|РУСТЭК ЕСУ (166379)|Система серверной виртуализации «Р-Виртуализация» (3348);Системы виртуализации|Системы управления виртуализацией|VDI|Гипервизоры|Системные утилиты|Программно определяемые хранилища|Средства защиты от НСД
VMware Cloud Director;ROSA Virtualization (5091)|Гиперконвергентная инфрастуктура ОТВ эв3 (5036)|РУСТЭК ЕСУ (166379);Системы управления виртуализацией|Гипервизоры|Программно определяемые хранилища|Облачные программные платформы
Vmware ESXi;ROSA Virtualization (5091)|Платформа управления и мониторинга среды виртуализации SharxBase (4445);Системы управления виртуализацией|Гипервизоры|Системы виртуализации
VMware Horizon;ROSA Virtualization (5091)|Брокер соединений SharxDesk (6752)|Диспетчер подключений виртуальных рабочих мест Термидеск (5317)|РУСТЭК.VDI (248077);Системы управления виртуализацией|VDI|Системы виртуализации
Vmware Tanzu;Deckhouse Kubernetes Platform (12338)|RT.Warehouse (11558)|RT.WideStore (11560);Системы виртуализации|Средства разработки|Средства управления ИТ-инфраструктурой|Облачные программные платформы|СУБД и средства работы с данными|СУБД для аналитики
VMware vCenter;VMmanager (790)|Гиперконвергентная инфрастуктура ОТВ эв3 (5036);Системы управления виртуализацией|Гипервизоры|Программно определяемые хранилища|Облачные программные платформы
VMware vRealize Operations;BILLmanager (1184);Биллинговые системы
VMware VSAN;RAIDIX (37)|RAIDIX 5 (9477)|ROSA Virtualization (5091)|Гиперконвергентная инфраструктура vStack (11995)|Кибер Инфраструктура (6402)|Система распределенного хранения данных «Р-Хранилище» (3380);Программно определяемые хранилища|СХД|Системы управления виртуализацией|Гипервизоры|Системы облачного хранения файлов|Средства резервного копирования
VMware vSphere;ECP VeiL SE (8729)|ROSA Virtualization (5091)|VMmanager (790)|Гиперконвергентная инфраструктура vStack (11995)|РЕД Виртуализация (6929)|РУСТЭК (56775);Системы виртуализации|Системы управления виртуализацией|Гипервизоры
VMWare Workspace ONE / AirWatch;Платформа управления мобильными устройствами Аврора Центр (6875);EMM/MDM/MAM-системы (управление мобильными устройствами/приложениями)
VNC Connect;АССИСТЕНТ. Система удаленного мониторинга и управления. (3173);Системы организации групповой работы|Безопасный удаленный доступ|Для организации удалённой работы
VocalTec Essentra Softswitch;Программный комплекс Протей-imSwitch (3361);Телекоммуникации|Сетевое оборудование
Voxeo prophecy;Омниканальная диалоговая платформа на естественном языке ChatNavigator (4837);Банки и финансы|Госуслуги|Лингвистическое ПО
vSEC:CMS;Рутокен KeyBox (4327);Системы управления средствами ИБ
vStorage;Almond FS (252063);СХД
vTradEx TMS;ГИС ОПТИМУМ (1800);Геоинформационные системы (ГИС)|Системы мониторинга и управления транспортом|Транспорт
Vue.ai;ОПТИМУМ СмартЛук (6079);Распознавание образов, компьютерное зрение
Wallix;sPACE - система управления привилегированным доступом (12925);Безопасный удаленный доступ|Средства управления доступом к информационным ресурсам
Wallix Bastion;Инфраскоп (10023);Средства защиты баз данных|Безопасный удаленный доступ|Средства аутентификации пользователей|Средства двухфакторной аутентификации|Средства управления доступом к информационным ресурсам
WatchGuard Firebox;ViPNet IDS NS (7058);ПО для обеспечения ИБ|Средства мониторинга сетевого трафика и событий
Waters QDis-QM;Zyfra Quality Lab (8684)|Лабораторно-информационная система I-LDS (InduSoft Laboratory Data System) (1350);LIMS
Webitel;Call-центр / IP АТС Infinity (13330);Телефония|Колл-центры
WebMethods BPMS;Digital Q.MessageHub (undefined)|Галактика ESB (5320);Интеграционное ПО. Интеграционные шины, ESB
WebPass;Менеджер паролей Пассворк (6147);Средства аутентификации пользователей
Webroot Business Endpoint Protection;Dr.Web Desktop Security Suite (47)|Dr.Web Server Security Suite (46)|Kaspersky Endpoint Security для бизнеса – Расширенный (207);Антивирусное ПО|Системы управления средствами ИБ|Средства криптозащиты информации
Websence CPS;«Модуль контроля коммуникаций через корпоративные почтовые системы версии 7» («Dozor Mail Connector v. 7») (7445);DLP-системы
WebSphere Portal;Инкоманд (10821);ПО для HR и кадровых служб|Корпоративные порталы и средства их создания|Базы знаний
Well Seeker Pro;GeoTrack (10940);Добывающая промышленность
WellTest;PolyGon - программный комплекс для обработки, моделирования и интерпретации данных гидродинамических исследований скважин (3233);Геофизическое моделирование и обработка исследований
Wenco Dispatching Service;АСУ ГТК «Карьер» (9118)|АСУ ГТК «Карьер» / Zyfra OpenMine FMS (9113);Системы мониторинга и управления транспортом|Добывающая промышленность|ПО для промышленности
Wenco Drill Navigation;VG Drill (undefined);Системы мониторинга и управления|Добывающая промышленность
WhatsApp;tada.team (9475)|TrueConf Server (78)|VideoMost Server (952)|ViPNet Connect (2138)|WEBINAR (ВЕБИНАР), версия 3.0 (3316)|ВИДЕОСЕЛЕКТОР (751)|Информационно-коммуникационный сервис СТЭПЛИ (Коробочная версия) (795)|Контур.Гособлако Портал (5479)|РОСЧАТ (6176)|Система коммуникаций Express (5745);Системы видеосвязи (ВКС)|Instant Messaging|Телефония|Системы управления задачами|Для организации удалённой работы|Системы организации групповой работы|Образование|Системы видеостриминга|Системы документооборота (СЭД), ECM-системы|Органы власти|ПО для HR и кадровых служб|Корпоративные порталы и средства их создания
Whereby;TrueConf Server (78)|VideoMost Server (952)|WEBINAR (ВЕБИНАР), версия 3.0 (3316)|ВИДЕОСЕЛЕКТОР (751)|Волна Цифровой Офис (10647);Системы видеосвязи (ВКС)|Для организации удалённой работы|Системы организации групповой работы|Образование|Системы видеостриминга
WhiteSource;CodeScoring (13008);ПО для обеспечения ИБ|Безопасная разработка
WHMCS;BILLmanager (1184);Биллинговые системы
Wibu Systems CmActLicense;Программные ключи Guardant DL (9052);ПО для обеспечения ИБ|Средства защиты и лицензирования ПО
Wibu Systems CmDongle;Guardant OS (12526);ПО для обеспечения ИБ|Средства защиты и лицензирования ПО
Wibu Systems Protection Suite AxProtector;Guardant Armor (3176);Средства защиты и лицензирования ПО
Wibu Systems Protection Suite IxProtector;Guardant Armor (3176);Средства защиты и лицензирования ПО
Wibu Systems WibuKey;Guardant OS (12526);ПО для обеспечения ИБ|Средства защиты и лицензирования ПО
WinCC;AggreGate SCADA/HMI (2186)|Alpha.SCADA (13791)|IntraSCADA (13486)|MasterSCADA 4D (13907)|SCADA DataRate (3864)|SCADA «КРУГ-2000» (541)|Альфа платформа (1187)|КТК «ТРОПА» (8669)|Программная платформа SEDMAX (3136);АСУТП|SCADA|Отечественное ПО, бесплатное для образовательных организаций|IIoT (промышленный интернет вещей)|MES|Программные платформы|Системы мониторинга и управления|ПО промышленных микроконтроллеров|Системы мониторинга и управление энергосетей|Энергетика|ПО для промышленности|Обучающее ПО|Автоматизированные системы контроля и учета энергоресурсов (АСКУЭ)
Windows Remote Desktop Connections;АССИСТЕНТ. Система удаленного мониторинга и управления. (3173);Системы организации групповой работы|Безопасный удаленный доступ|Для организации удалённой работы
Wind River VxWorks;Операционная система реального времени FX-RTOS (12693);Встроенные ОС
Windward Core;FastReport VCL (undefined);Средства разработки
WinTool;Программный комплекс ADEM-VX версии 2020 в составе модулей: PDM, CAD, CAM, CAPP, SIM, GPP, NTR, I-RIS (Программное обеспечение ADEM-VX) (12735);CAD/ECAD/CAM/CAE-системы
WIRELESS E-STOP;Zyfra Robotics (undefined);Добывающая промышленность|ПО для автономного транспорта
Wit.AI;Naumen CX (12797)|Naumen Erudite (6283)|Омниканальная диалоговая платформа на естественном языке ChatNavigator (4837);Колл-центры|Instant Messaging|Лингвистическое ПО|Банки и финансы|Госуслуги
Wittenstein OpenRTOS/SafeRTOS;Операционная система реального времени FX-RTOS (12693);Встроенные ОС
Wix;АЛЬФА: Media: готовый информационный портал (11902)|Николай Иронов (undefined)|Сайтыобразованию.рф (1556);Корпоративные порталы и средства их создания|Управление Web-сайтами|Средства прикладной разработки NoCode/LowCode|Торговля|Графические и фоторедакторы|Средства управления доступом к информационным ресурсам
WMS RedPrairie;AXELOT WMS X (5494)|LEAD WMS (undefined)|TopLog WMS (5224);Склады, логистика|Системы управления бизнес-процессами|ПО для промышленности|ПО для робототехники
Wonderware InBalance;Массовый и энергетический баланс / Zyfra Mass & Energy Balance (10978)|Система сведения материального баланса I-DRMS (InduSoft Data Reconciliation Management System) (2069);Моделирование технических систем и объектов|AMM-системы (управление промышленным производством)
Wonderware MES Software;BFG IMES (5089)|LEAD MES (undefined)|TechnologiCS (846)|Zyfra Industrial Automation Kit (undefined)|Информационная платформа Дельта-К (12095)|Программная платформа SEDMAX (3136)|Система диспетчеризации I-DS (InduSoft Dispatching System) (1967)|Цифровая логистическая платформа Magenta (9202);ПО для промышленности|MES|Системы управления бизнес-процессами|Пищевая промышленность|EAM-системы (управление активами предприятия)|PLM - системы (Product Lifecycle Management)|IIoT (промышленный интернет вещей)|PDM - системы (Product Data Management)|Системы мониторинга и управления|Автоматизированные системы контроля и учета энергоресурсов (АСКУЭ)|Энергетика|SCADA|Геоинформационные системы (ГИС)|Системы мониторинга и управления транспортом|Транспорт|Склады, логистика
WordPress;CS-Cart (undefined)|АЛЬФА: Media: готовый информационный портал (11902)|ЕСГМС. Официальный сайт (2312)|Информационная система "MagicSite" (9719)|Конструктор сайтов Е-Паблиш (9867)|Сайтыобразованию.рф (1556);Средства разработки|Торговля|Программные платформы|Управление Web-сайтами|Корпоративные порталы и средства их создания|Средства прикладной разработки NoCode/LowCode|Образование|Средства управления доступом к информационным ресурсам
Workday;1С:Управление по целям и KPI (755)|Naumen Service Management Platform (5263)|Naumen WFM (2202)|Vacation Solution (15085)|WiseAdvice: Личный кабинет сотрудника (undefined)|АРГУС Workforce Management for Call Centre (8432)|Программный комплекс Solar addVisor (9369);ПО для HR и кадровых служб|Системы управления бизнес-процессами|Колл-центры|Service Desk|Системы документооборота (СЭД), ECM-системы|Для организации удалённой работы|Системы мониторинга и управления
Workday HCM;1С:Управление по целям и KPI (755)|Beehive (11032)|Digital Q.HR (undefined)|Mirapolis HCM (2256)|N3.Человеческий капитал (6943)|Vacation Solution (15085)|WiseAdvice: Личный кабинет сотрудника (undefined)|Галактика ERP (276)|Российская ERP-платформа Ma-3 (4255)|ТУРБО ERP (6039);ПО для HR и кадровых служб|Системы управления бизнес-процессами|Образование|Системы документооборота (СЭД), ECM-системы|Для организации удалённой работы|ERP-системы
Workday Payroll and Workforce Management;1С:Управление по целям и KPI (755)|N3.Кадры (3018)|Naumen KMS (undefined)|Naumen WFM (2202)|Vacation Solution (15085)|WiseAdvice: Личный кабинет сотрудника (undefined)|АРГУС Workforce Management for Call Centre (8432)|Плюс7 МаяК (14349);ПО для HR и кадровых служб|Системы управления бизнес-процессами|Базы знаний|Колл-центры|Системы документооборота (СЭД), ECM-системы|Для организации удалённой работы
WorkNC;CAD/CAM-система ГеММа-3D (5551)|SprutCAM (1435)|Программный комплекс ADEM-VX версии 2020 в составе модулей: PDM, CAD, CAM, CAPP, SIM, GPP, NTR, I-RIS (Программное обеспечение ADEM-VX) (12735);CAD/ECAD/CAM/CAE-системы
